,treatment,block,row,column,field_trial_id,yields,meta
0,T1,1,1,1,crop_yr1_t01,50.75,7
1,T1,2,1,2,crop_yr1_t01,78.08,8
2,T1,4,1,4,crop_yr1_t01,87.51,7
3,T1,3,1,3,crop_yr1_t01,99.43,5
4,T2,4,2,4,crop_yr1_t01,75.66,6
5,T2,1,2,1,crop_yr1_t01,52.69,3
6,T2,3,2,3,crop_yr1_t01,67.4,2
7,T2,2,2,2,crop_yr1_t01,58.75,5
8,T3,1,3,1,crop_yr1_t01,74.44,6
9,T3,4,3,4,crop_yr1_t01,69.1,10
10,T3,3,3,3,crop_yr1_t01,87.19,3
11,T3,2,3,2,crop_yr1_t01,84.48,6
12,T4,1,4,1,crop_yr1_t01,95.62,3
13,T4,4,4,4,crop_yr1_t01,62.39,2
14,T4,2,4,2,crop_yr1_t01,79.63,4
15,T4,3,4,3,crop_yr1_t01,57.95,3
16,T5,1,5,1,crop_yr1_t01,91.97,7
17,T5,2,5,2,crop_yr1_t01,98.21,10
18,T5,4,5,4,crop_yr1_t01,58.64,9
19,T5,3,5,3,crop_yr1_t01,77.01,4
20,T6,2,6,2,crop_yr1_t01,85.01,3
21,T6,3,6,3,crop_yr1_t01,84.11,4
22,T6,4,6,4,crop_yr1_t01,66.18,2
23,T6,1,6,1,crop_yr1_t01,60.43,1
24,T1,1,1,1,crop_yr1_t02,69.7,10
25,T1,4,1,4,crop_yr1_t02,71.31,4
26,T1,3,1,3,crop_yr1_t02,67.48,9
27,T1,2,1,2,crop_yr1_t02,82.92,6
28,T2,2,2,2,crop_yr1_t02,99.8,8
29,T2,4,2,4,crop_yr1_t02,88.28,7
30,T2,1,2,1,crop_yr1_t02,80.36,8
31,T2,3,2,3,crop_yr1_t02,70.33,7
32,T3,4,3,4,crop_yr1_t02,77.72,9
33,T3,3,3,3,crop_yr1_t02,74.6,8
34,T3,2,3,2,crop_yr1_t02,86.69,10
35,T3,1,3,1,crop_yr1_t02,80.54,8
36,T4,2,4,2,crop_yr1_t02,60.87,4
37,T4,3,4,3,crop_yr1_t02,90.54,8
38,T4,1,4,1,crop_yr1_t02,98.9,8
39,T4,4,4,4,crop_yr1_t02,62.93,9
40,T5,3,5,3,crop_yr1_t02,74.95,1
41,T5,1,5,1,crop_yr1_t02,75.9,2
42,T5,4,5,4,crop_yr1_t02,68.76,8
43,T5,2,5,2,crop_yr1_t02,55.23,1
44,T6,3,6,3,crop_yr1_t02,96.23,8
45,T6,2,6,2,crop_yr1_t02,57.62,5
46,T6,4,6,4,crop_yr1_t02,94.33,3
47,T6,1,6,1,crop_yr1_t02,57.28,5
48,T1,1,1,1,crop_yr1_t03,92.67,2
49,T1,3,1,3,crop_yr1_t03,85.12,6
50,T1,2,1,2,crop_yr1_t03,71.6,4
51,T1,4,1,4,crop_yr1_t03,67.15,3
52,T2,3,2,3,crop_yr1_t03,94.55,9
53,T2,4,2,4,crop_yr1_t03,89.48,9
54,T2,2,2,2,crop_yr1_t03,54.9,7
55,T2,1,2,1,crop_yr1_t03,72.63,1
56,T3,1,3,1,crop_yr1_t03,88.18,1
57,T3,4,3,4,crop_yr1_t03,63.52,2
58,T3,3,3,3,crop_yr1_t03,61.9,2
59,T3,2,3,2,crop_yr1_t03,86.97,3
60,T4,1,4,1,crop_yr1_t03,89.07,2
61,T4,4,4,4,crop_yr1_t03,95.38,5
62,T4,3,4,3,crop_yr1_t03,88.41,5
63,T4,2,4,2,crop_yr1_t03,76.71,6
64,T5,1,5,1,crop_yr1_t03,62.28,9
65,T5,4,5,4,crop_yr1_t03,89.57,5
66,T5,2,5,2,crop_yr1_t03,89.03,4
67,T5,3,5,3,crop_yr1_t03,77.04,3
68,T6,3,6,3,crop_yr1_t03,99.69,4
69,T6,4,6,4,crop_yr1_t03,61.25,7
70,T6,1,6,1,crop_yr1_t03,91.67,1
71,T6,2,6,2,crop_yr1_t03,92.33,2
72,T1,2,1,2,crop_yr1_t04,93.12,5
73,T1,4,1,4,crop_yr1_t04,79.8,6
74,T1,1,1,1,crop_yr1_t04,57.37,6
75,T1,3,1,3,crop_yr1_t04,78.91,4
76,T2,4,2,4,crop_yr1_t04,50.35,3
77,T2,2,2,2,crop_yr1_t04,71.92,2
78,T2,1,2,1,crop_yr1_t04,72.51,7
79,T2,3,2,3,crop_yr1_t04,56.89,3
80,T3,4,3,4,crop_yr1_t04,92.79,9
81,T3,2,3,2,crop_yr1_t04,94.18,2
82,T3,1,3,1,crop_yr1_t04,88.7,2
83,T3,3,3,3,crop_yr1_t04,75.71,7
84,T4,4,4,4,crop_yr1_t04,90.55,10
85,T4,2,4,2,crop_yr1_t04,92.41,9
86,T4,3,4,3,crop_yr1_t04,92.24,8
87,T4,1,4,1,crop_yr1_t04,51.89,1
88,T5,3,5,3,crop_yr1_t04,80.97,2
89,T5,1,5,1,crop_yr1_t04,83.84,6
90,T5,4,5,4,crop_yr1_t04,64.58,1
91,T5,2,5,2,crop_yr1_t04,52.99,7
92,T6,3,6,3,crop_yr1_t04,50.68,3
93,T6,1,6,1,crop_yr1_t04,64.32,5
94,T6,4,6,4,crop_yr1_t04,82.74,3
95,T6,2,6,2,crop_yr1_t04,65.24,9
96,T1,2,1,2,crop_yr2_t01,84.23,3
97,T1,4,1,4,crop_yr2_t01,85.46,3
98,T1,1,1,1,crop_yr2_t01,74.82,9
99,T1,3,1,3,crop_yr2_t01,68.28,9
100,T2,4,2,4,crop_yr2_t01,75.31,7
101,T2,1,2,1,crop_yr2_t01,96.49,7
102,T2,3,2,3,crop_yr2_t01,58.65,6
103,T2,2,2,2,crop_yr2_t01,54.9,5
104,T3,1,3,1,crop_yr2_t01,59.43,7
105,T3,3,3,3,crop_yr2_t01,99.13,9
106,T3,2,3,2,crop_yr2_t01,70.81,8
107,T3,4,3,4,crop_yr2_t01,73.21,2
108,T4,4,4,4,crop_yr2_t01,72.51,6
109,T4,3,4,3,crop_yr2_t01,89.51,9
110,T4,1,4,1,crop_yr2_t01,89.51,4
111,T4,2,4,2,crop_yr2_t01,55.52,4
112,T5,3,5,3,crop_yr2_t01,96.54,9
113,T5,1,5,1,crop_yr2_t01,72.14,7
114,T5,4,5,4,crop_yr2_t01,72.98,3
115,T5,2,5,2,crop_yr2_t01,78.54,8
116,T6,4,6,4,crop_yr2_t01,51.8,2
117,T6,1,6,1,crop_yr2_t01,97.88,6
118,T6,3,6,3,crop_yr2_t01,91.74,7
119,T6,2,6,2,crop_yr2_t01,94.84,10
120,T1,3,1,3,crop_yr2_t02,62.25,8
121,T1,1,1,1,crop_yr2_t02,77.21,2
122,T1,2,1,2,crop_yr2_t02,73.72,7
123,T1,4,1,4,crop_yr2_t02,52.1,7
124,T2,1,2,1,crop_yr2_t02,95.87,2
125,T2,3,2,3,crop_yr2_t02,88.48,10
126,T2,2,2,2,crop_yr2_t02,64.18,6
127,T2,4,2,4,crop_yr2_t02,76.54,7
128,T3,2,3,2,crop_yr2_t02,79.97,4
129,T3,3,3,3,crop_yr2_t02,59.43,8
130,T3,4,3,4,crop_yr2_t02,51.36,5
131,T3,1,3,1,crop_yr2_t02,93.18,3
132,T4,4,4,4,crop_yr2_t02,91.78,1
133,T4,1,4,1,crop_yr2_t02,93.69,7
134,T4,2,4,2,crop_yr2_t02,90.39,5
135,T4,3,4,3,crop_yr2_t02,64.78,1
136,T5,2,5,2,crop_yr2_t02,80.69,4
137,T5,4,5,4,crop_yr2_t02,59.77,2
138,T5,3,5,3,crop_yr2_t02,95.52,2
139,T5,1,5,1,crop_yr2_t02,75.64,4
140,T6,1,6,1,crop_yr2_t02,93.41,2
141,T6,2,6,2,crop_yr2_t02,70.59,9
142,T6,4,6,4,crop_yr2_t02,77.04,8
143,T6,3,6,3,crop_yr2_t02,77.04,6
144,T1,3,1,3,crop_yr2_t03,80.67,9
145,T1,2,1,2,crop_yr2_t03,69.57,4
146,T1,1,1,1,crop_yr2_t03,96.63,2
147,T1,4,1,4,crop_yr2_t03,58.68,3
148,T2,3,2,3,crop_yr2_t03,95.4,7
149,T2,2,2,2,crop_yr2_t03,63.41,3
150,T2,4,2,4,crop_yr2_t03,53.12,7
151,T2,1,2,1,crop_yr2_t03,78.61,3
152,T3,1,3,1,crop_yr2_t03,54.5,8
153,T3,2,3,2,crop_yr2_t03,54.24,8
154,T3,4,3,4,crop_yr2_t03,57.78,5
155,T3,3,3,3,crop_yr2_t03,79.34,5
156,T4,2,4,2,crop_yr2_t03,76.42,2
157,T4,4,4,4,crop_yr2_t03,83.26,2
158,T4,3,4,3,crop_yr2_t03,73.88,6
159,T4,1,4,1,crop_yr2_t03,89.15,9
160,T5,2,5,2,crop_yr2_t03,73.02,6
161,T5,3,5,3,crop_yr2_t03,56.89,8
162,T5,4,5,4,crop_yr2_t03,72.49,6
163,T5,1,5,1,crop_yr2_t03,70.1,5
164,T6,3,6,3,crop_yr2_t03,91.66,4
165,T6,2,6,2,crop_yr2_t03,79.16,6
166,T6,4,6,4,crop_yr2_t03,70.62,10
167,T6,1,6,1,crop_yr2_t03,92.14,2
168,T1,1,1,1,crop_yr2_t04,85.49,10
169,T1,2,1,2,crop_yr2_t04,80.81,5
170,T1,4,1,4,crop_yr2_t04,67.83,4
171,T1,3,1,3,crop_yr2_t04,87.81,9
172,T2,4,2,4,crop_yr2_t04,67.28,4
173,T2,2,2,2,crop_yr2_t04,94.45,3
174,T2,3,2,3,crop_yr2_t04,58.11,7
175,T2,1,2,1,crop_yr2_t04,67.74,6
176,T3,2,3,2,crop_yr2_t04,72.23,2
177,T3,4,3,4,crop_yr2_t04,60.66,4
178,T3,3,3,3,crop_yr2_t04,89.91,1
179,T3,1,3,1,crop_yr2_t04,79.5,4
180,T4,3,4,3,crop_yr2_t04,70.93,3
181,T4,2,4,2,crop_yr2_t04,97.02,8
182,T4,4,4,4,crop_yr2_t04,67.81,8
183,T4,1,4,1,crop_yr2_t04,62.38,3
184,T5,4,5,4,crop_yr2_t04,99.36,6
185,T5,3,5,3,crop_yr2_t04,81.23,9
186,T5,1,5,1,crop_yr2_t04,82.81,6
187,T5,2,5,2,crop_yr2_t04,76.98,9
188,T6,4,6,4,crop_yr2_t04,79.63,7
189,T6,3,6,3,crop_yr2_t04,77.56,1
190,T6,1,6,1,crop_yr2_t04,82.47,3
191,T6,2,6,2,crop_yr2_t04,77.11,5
